title,artist,bpm,energy,danceability,loudness,valence,acousticness,speechiness,instrumentalness
It Wasn't Me,Shaggy,94.759,0.606,0.853,-4.596,0.654,0.0561,0.0713,0.0
Stutter,Joe,89.989,0.759,0.767,-6.516,0.677,0.0513,0.117,0.0
It's Been Awhile,Staind,119.582,0.8140000000000001,0.425,-5.105,0.078,0.00112,0.0453,0.0499
U Remind Me,Usher,93.985,0.629,0.657,-4.938,0.726,0.194,0.0782,0.0
Where the Party At,Jagged Edge,129.491,0.661,0.596,-6.239,0.86,0.31,0.226,0.0
Angel,Shaggy,170.531,0.766,0.74,-2.939,0.807,0.116,0.178,0.0
Angel,Rayvon,80.639,0.119,0.238,-13.6,0.0626,0.955,0.038,0.00133
Ride wit Me,Nelly,101.875,0.7000000000000001,0.85,-6.49,0.722,0.0616,0.0478,1.8e-06
Follow Me,Uncle Kracker,105.014,0.585,0.8170000000000001,-4.688,0.916,0.439,0.0301,0.0
Peaches & Cream,112,203.746,0.537,0.706,-6.347,0.775,0.00887,0.348,0.0
Drive,Incubus,90.565,0.792,0.645,-7.34,0.666,0.0562,0.036,0.0121
What Would You Do?,City High,95.877,0.794,0.733,-6.909,0.8320000000000001,0.259,0.223,0.0
Lady Marmalade,Christina Aguilera,109.902,0.811,0.754,-3.679,0.639,0.0185,0.0561,5.18e-06
Lady Marmalade,Lil' Kim,110.014,0.398,0.876,-11.44,0.846,0.00184,0.0366,0.246
Lady Marmalade,Mýa,110.014,0.398,0.876,-11.44,0.846,0.00184,0.0366,0.246
Lady Marmalade,Pink,110.014,0.398,0.876,-11.44,0.846,0.00184,0.0366,0.246
Ms. Jackson,Outkast,94.948,0.806,0.843,-5.946,0.613,0.143,0.269,0.0
Love Don't Cost a Thing,Jennifer Lopez,97.577,0.842,0.786,-5.115,0.685,0.00305,0.0707,3.54e-06
The Way You Love Me,Faith Hill,101.99,0.716,0.627,-7.175,0.734,0.127,0.0352,0.0
He Loves U Not,Dream,155.898,0.926,0.722,-5.849,0.605,0.0945,0.209,2.7e-06
Butterfly,Crazy Town,103.502,0.811,0.736,-4.17,0.609,0.00132,0.081,0.0001419999999999
Put It on Me,Ja Rule,93.14,0.79,0.8310000000000001,-4.714,0.791,0.0024,0.165,0.0
Put It on Me,Vita,96.471,0.542,0.481,-7.62,0.366,0.0649,0.363,0.0
Family Affair,Mary J. Blige,92.887,0.551,0.911,-3.75,0.969,0.132,0.0449,4.12e-05
I Hope You Dance,Lee Ann Womack,151.278,0.443,0.385,-9.627,0.275,0.0632,0.0295,0.0
South Side,Moby,97.148,0.724,0.611,-7.572,0.45,0.0104,0.0421,0.0452
South Side,Gwen Stefani,97.086,0.489,0.523,-9.626,0.352,0.00417,0.0332,0.0815
Don't Tell Me,Madonna,99.965,0.618,0.6990000000000001,-7.338,0.679,0.0502,0.0594,0.0009249999999999
